	Layer	Input(BS, Ni, Lr, Lc)	Filter(No, Ni, Fr, Fc)	Output(BS, No, Mr, Mc)	Sampling(Sr, Sc)	In_Mem	In_Move	Out_Mem	Out_Move	Band	Band_time	BLAS(M, N, K)	MACs	MAC_Unit	MAC_Cycle	Cx_Mem	Cx_Move	Time_serial	Time_parallel	Param #
1	Conv2d-1	[-1, 3, 224, 224]	[32, 3, 3, 3]	[-1, 32, 224, 224]	(1, 1)	150528	0	1605632	0	2578054119424	503.5261952	[32, 50176, 27]	14450688	1024	1.4112e-05	4816896	1	503.526209312	503.5261952	tensor(864)
2	BatchNorm2d-2	[-1, 32, 224, 224]	[32, 32, 1, 1]	[-1, 32, 224, 224]		1605632	0	1605632	0	2578054119424	503.5261952			32	0	0	0	503.5261952	503.5261952	tensor(64)
3	ReLU-3	[-1, 32, 224, 224]	[32, 32, 1, 1]	[-1, 32, 224, 224]		1605632	0	1605632	0	2578054119424	503.5261952			32	0	0	0	503.5261952	503.5261952	0
4	Conv2d-4	[-1, 32, 224, 224]	[32, 32, 3, 3]	[-1, 32, 224, 224]	(1, 1)	1605632	0	1605632	0	2578054119424	503.5261952	[32, 50176, 288]	14450688	1024	1.4112e-05	51380224	1	503.526209312	503.5261952	tensor(288)
5	BatchNorm2d-5	[-1, 32, 224, 224]	[32, 32, 1, 1]	[-1, 32, 224, 224]		1605632	0	1605632	0	2578054119424	503.5261952			32	0	0	0	503.5261952	503.5261952	tensor(64)
6	ReLU-6	[-1, 32, 224, 224]	[32, 32, 1, 1]	[-1, 32, 224, 224]		1605632	0	1605632	0	2578054119424	503.5261952			32	0	0	0	503.5261952	503.5261952	0
7	Conv2d-7	[-1, 32, 224, 224]	[64, 32, 1, 1]	[-1, 64, 224, 224]	(1, 1)	1605632	0	3211264	0	10312216477696	2014.1047808	[64, 50176, 32]	3211264	1024	3.136e-06	102760448	1	2014.104783936	2014.1047808	tensor(2048)
8	BatchNorm2d-8	[-1, 64, 224, 224]	[64, 64, 1, 1]	[-1, 64, 224, 224]		3211264	0	3211264	0	10312216477696	2014.1047808			32	0	0	0	2014.1047808	2014.1047808	tensor(128)
9	ReLU-9	[-1, 64, 224, 224]	[64, 64, 1, 1]	[-1, 64, 224, 224]		3211264	0	3211264	0	10312216477696	2014.1047808			32	0	0	0	2014.1047808	2014.1047808	0
10	Conv2d-10	[-1, 64, 224, 224]	[64, 64, 3, 3]	[-1, 64, 224, 224]	(1, 1)	3211264	0	3211264	0	10312216477696	2014.1047808	[64, 50176, 576]	28901376	1024	2.8224e-05	205520896	1	2014.1048090240001	2014.1047808	tensor(576)
11	BatchNorm2d-11	[-1, 64, 224, 224]	[64, 64, 1, 1]	[-1, 64, 224, 224]		3211264	0	3211264	0	10312216477696	2014.1047808			32	0	0	0	2014.1047808	2014.1047808	tensor(128)
12	ReLU-12	[-1, 64, 224, 224]	[64, 64, 1, 1]	[-1, 64, 224, 224]		3211264	0	3211264	0	10312216477696	2014.1047808			32	0	0	0	2014.1047808	2014.1047808	0
13	Conv2d-13	[-1, 64, 224, 224]	[128, 64, 1, 1]	[-1, 128, 224, 224]	(1, 1)	3211264	0	6422528	1	41248865910784	8056.4191232	[128, 50176, 64]	6422528	1024	6.272e-06	411041792	1	8056.419129472	8056.4191232	tensor(8192)
14	BatchNorm2d-14	[-1, 128, 224, 224]	[128, 128, 1, 1]	[-1, 128, 224, 224]		6422528	1	6422528	1	41248872333312	8056.4203776			32	0	0	0	8056.4203776	8056.4203776	tensor(256)
15	ReLU-15	[-1, 128, 224, 224]	[128, 128, 1, 1]	[-1, 128, 224, 224]		6422528	1	6422528	1	41248872333312	8056.4203776			32	0	0	0	8056.4203776	8056.4203776	0
