	Layer	Input(BS, Ni, Lr, Lc)	Filter(No, Ni, Fr, Fc)	Output(BS, No, Mr, Mc)	Sampling(Sr, Sc)	In_Mem	In_Move	Out_Mem	Out_Move	Band	Band_time	BLAS(M, N, K)	MACs	MAC_Unit	MAC_Cycle	Cx_Mem	Cx_Move	Time_serial	Time_parallel	Param #
1	Conv2d-1	[-1, 3, 224, 224]	[64, 3, 7, 7]	[-1, 64, 112, 112]	(2, 2)	150528	0	802816	0	644513529856	125.8815488	[64, 12544, 147]	39337984	1024	3.8416e-05	9633792	1	125.881587216	125.8815488	tensor(9408)
2	BatchNorm2d-2	[-1, 64, 112, 112]	[64, 64, 1, 1]	[-1, 64, 112, 112]		802816	0	802816	0	644513529856	125.8815488			32	0	0	0	125.8815488	125.8815488	tensor(128)
3	ReLU-3	[-1, 64, 112, 112]	[64, 64, 1, 1]	[-1, 64, 112, 112]		802816	0	802816	0	644513529856	125.8815488			32	0	0	0	125.8815488	125.8815488	0
4	MaxPool2d-4	[-1, 64, 112, 112]	[64, 64, 3, 1]	[-1, 64, 56, 56]	[-1, 64, 112, 112]	802816	0	200704	0	40282095616	7.8675968			32	0	51380224	1	7.8675968	7.8675968	0
5	Conv2d-5	[-1, 64, 56, 56]	[64, 64, 1, 1]	[-1, 64, 56, 56]	(1, 1)	200704	0	200704	0	40282095616	7.8675968	[64, 3136, 64]	200704	1024	1.96e-07	12845056	1	7.8675969960000005	7.8675968	tensor(4096)
6	BatchNorm2d-6	[-1, 64, 56, 56]	[64, 64, 1, 1]	[-1, 64, 56, 56]		200704	0	200704	0	40282095616	7.8675968			32	0	0	0	7.8675968	7.8675968	tensor(128)
7	ReLU-7	[-1, 64, 56, 56]	[64, 64, 1, 1]	[-1, 64, 56, 56]		200704	0	200704	0	40282095616	7.8675968			32	0	0	0	7.8675968	7.8675968	0
8	Conv2d-8	[-1, 64, 56, 56]	[64, 64, 3, 3]	[-1, 64, 56, 56]	(1, 1)	200704	0	200704	0	40282095616	7.8675968	[64, 3136, 576]	1806336	1024	1.764e-06	12845056	1	7.867598564000001	7.8675968	tensor(36864)
9	BatchNorm2d-9	[-1, 64, 56, 56]	[64, 64, 1, 1]	[-1, 64, 56, 56]		200704	0	200704	0	40282095616	7.8675968			32	0	0	0	7.8675968	7.8675968	tensor(128)
10	ReLU-10	[-1, 64, 56, 56]	[64, 64, 1, 1]	[-1, 64, 56, 56]		200704	0	200704	0	40282095616	7.8675968			32	0	0	0	7.8675968	7.8675968	0
11	Conv2d-11	[-1, 64, 56, 56]	[256, 64, 1, 1]	[-1, 256, 56, 56]	(1, 1)	200704	0	802816	0	644513529856	125.8815488	[256, 3136, 64]	802816	1024	7.84e-07	51380224	1	125.881549584	125.8815488	tensor(16384)
12	BatchNorm2d-12	[-1, 256, 56, 56]	[256, 256, 1, 1]	[-1, 256, 56, 56]		802816	0	802816	0	644513529856	125.8815488			32	0	0	0	125.8815488	125.8815488	tensor(512)
13	Conv2d-13	[-1, 64, 56, 56]	[256, 64, 1, 1]	[-1, 256, 56, 56]	(1, 1)	200704	0	802816	0	644513529856	125.8815488	[256, 3136, 64]	802816	1024	7.84e-07	51380224	1	125.881549584	125.8815488	tensor(16384)
14	BatchNorm2d-14	[-1, 256, 56, 56]	[256, 256, 1, 1]	[-1, 256, 56, 56]		802816	0	802816	0	644513529856	125.8815488			32	0	0	0	125.8815488	125.8815488	tensor(512)
15	ReLU-15	[-1, 256, 56, 56]	[256, 256, 1, 1]	[-1, 256, 56, 56]		802816	0	802816	0	644513529856	125.8815488			32	0	0	0	125.8815488	125.8815488	0
16	Bottleneck-16	[-1, 64, 56, 56]	[256, 64, 1, 1]	[-1, 256, 56, 56]	1	200704	0	802816	0	644513529856	125.8815488			32	0	0	0	125.8815488	125.8815488	0
17	Conv2d-17	[-1, 256, 56, 56]	[64, 256, 1, 1]	[-1, 64, 56, 56]	(1, 1)	802816	0	200704	0	40282095616	7.8675968	[64, 3136, 256]	200704	1024	1.96e-07	51380224	1	7.8675969960000005	7.8675968	tensor(16384)
18	BatchNorm2d-18	[-1, 64, 56, 56]	[64, 64, 1, 1]	[-1, 64, 56, 56]		200704	0	200704	0	40282095616	7.8675968			32	0	0	0	7.8675968	7.8675968	tensor(128)
19	ReLU-19	[-1, 64, 56, 56]	[64, 64, 1, 1]	[-1, 64, 56, 56]		200704	0	200704	0	40282095616	7.8675968			32	0	0	0	7.8675968	7.8675968	0
20	Conv2d-20	[-1, 64, 56, 56]	[64, 64, 3, 3]	[-1, 64, 56, 56]	(1, 1)	200704	0	200704	0	40282095616	7.8675968	[64, 3136, 576]	1806336	1024	1.764e-06	12845056	1	7.867598564000001	7.8675968	tensor(36864)
21	BatchNorm2d-21	[-1, 64, 56, 56]	[64, 64, 1, 1]	[-1, 64, 56, 56]		200704	0	200704	0	40282095616	7.8675968			32	0	0	0	7.8675968	7.8675968	tensor(128)
22	ReLU-22	[-1, 64, 56, 56]	[64, 64, 1, 1]	[-1, 64, 56, 56]		200704	0	200704	0	40282095616	7.8675968			32	0	0	0	7.8675968	7.8675968	0
23	Conv2d-23	[-1, 64, 56, 56]	[256, 64, 1, 1]	[-1, 256, 56, 56]	(1, 1)	200704	0	802816	0	644513529856	125.8815488	[256, 3136, 64]	802816	1024	7.84e-07	51380224	1	125.881549584	125.8815488	tensor(16384)
24	BatchNorm2d-24	[-1, 256, 56, 56]	[256, 256, 1, 1]	[-1, 256, 56, 56]		802816	0	802816	0	644513529856	125.8815488			32	0	0	0	125.8815488	125.8815488	tensor(512)
25	ReLU-25	[-1, 256, 56, 56]	[256, 256, 1, 1]	[-1, 256, 56, 56]		802816	0	802816	0	644513529856	125.8815488			32	0	0	0	125.8815488	125.8815488	0
26	Bottleneck-26	[-1, 256, 56, 56]	[256, 256, 1, 1]	[-1, 256, 56, 56]	1	802816	0	802816	0	644513529856	125.8815488			32	0	0	0	125.8815488	125.8815488	0
27	Conv2d-27	[-1, 256, 56, 56]	[64, 256, 1, 1]	[-1, 64, 56, 56]	(1, 1)	802816	0	200704	0	40282095616	7.8675968	[64, 3136, 256]	200704	1024	1.96e-07	51380224	1	7.8675969960000005	7.8675968	tensor(16384)
28	BatchNorm2d-28	[-1, 64, 56, 56]	[64, 64, 1, 1]	[-1, 64, 56, 56]		200704	0	200704	0	40282095616	7.8675968			32	0	0	0	7.8675968	7.8675968	tensor(128)
29	ReLU-29	[-1, 64, 56, 56]	[64, 64, 1, 1]	[-1, 64, 56, 56]		200704	0	200704	0	40282095616	7.8675968			32	0	0	0	7.8675968	7.8675968	0
30	Conv2d-30	[-1, 64, 56, 56]	[64, 64, 3, 3]	[-1, 64, 56, 56]	(1, 1)	200704	0	200704	0	40282095616	7.8675968	[64, 3136, 576]	1806336	1024	1.764e-06	12845056	1	7.867598564000001	7.8675968	tensor(36864)
31	BatchNorm2d-31	[-1, 64, 56, 56]	[64, 64, 1, 1]	[-1, 64, 56, 56]		200704	0	200704	0	40282095616	7.8675968			32	0	0	0	7.8675968	7.8675968	tensor(128)
32	ReLU-32	[-1, 64, 56, 56]	[64, 64, 1, 1]	[-1, 64, 56, 56]		200704	0	200704	0	40282095616	7.8675968			32	0	0	0	7.8675968	7.8675968	0
33	Conv2d-33	[-1, 64, 56, 56]	[256, 64, 1, 1]	[-1, 256, 56, 56]	(1, 1)	200704	0	802816	0	644513529856	125.8815488	[256, 3136, 64]	802816	1024	7.84e-07	51380224	1	125.881549584	125.8815488	tensor(16384)
34	BatchNorm2d-34	[-1, 256, 56, 56]	[256, 256, 1, 1]	[-1, 256, 56, 56]		802816	0	802816	0	644513529856	125.8815488			32	0	0	0	125.8815488	125.8815488	tensor(512)
35	ReLU-35	[-1, 256, 56, 56]	[256, 256, 1, 1]	[-1, 256, 56, 56]		802816	0	802816	0	644513529856	125.8815488			32	0	0	0	125.8815488	125.8815488	0
