	Layer	Input(BS, Ni, Lr, Lc)	Filter(No, Ni, Fr, Fc)	Output(BS, No, Mr, Mc)	Sampling(Sr, Sc)	In_Mem	In_Move	Out_Mem	Out_Move	Band	Band_time	BLAS(M, N, K)	MACs	MAC_Unit	MAC_Cycle	Cx_Mem	Cx_Move	Time_serial	Time_parallel	Param #
1	Conv2d-1	[-1, 3, 224, 224]	[64, 3, 3, 3]	[-1, 64, 224, 224]	(1, 1)	150528	0	3211264	0	10312216477696	2014.1047808	[64, 50176, 27]	28901376	1024	2.8224e-05	9633792	1	2014.1048090240001	2014.1047808	tensor(1792)
2	ReLU-2	[-1, 64, 224, 224]	[64, 64, 1, 1]	[-1, 64, 224, 224]		3211264	0	3211264	0	10312216477696	2014.1047808			32	0	0	0	2014.1047808	2014.1047808	0
3	Conv2d-3	[-1, 64, 224, 224]	[64, 64, 3, 3]	[-1, 64, 224, 224]	(1, 1)	3211264	0	3211264	0	10312216477696	2014.1047808	[64, 50176, 576]	28901376	1024	2.8224e-05	205520896	1	2014.1048090240001	2014.1047808	tensor(36928)
4	ReLU-4	[-1, 64, 224, 224]	[64, 64, 1, 1]	[-1, 64, 224, 224]		3211264	0	3211264	0	10312216477696	2014.1047808			32	0	0	0	2014.1047808	2014.1047808	0
5	MaxPool2d-5	[-1, 64, 224, 224]	[64, 64, 2, 1]	[-1, 64, 112, 112]	[-1, 64, 224, 224]	3211264	0	802816	0	644513529856	125.8815488			32	0	205520896	1	125.8815488	125.8815488	0
6	Conv2d-6	[-1, 64, 112, 112]	[128, 64, 3, 3]	[-1, 128, 112, 112]	(1, 1)	802816	0	1605632	0	2578054119424	503.5261952	[128, 12544, 576]	14450688	1024	1.4112e-05	102760448	1	503.526209312	503.5261952	tensor(73856)
7	ReLU-7	[-1, 128, 112, 112]	[128, 128, 1, 1]	[-1, 128, 112, 112]		1605632	0	1605632	0	2578054119424	503.5261952			32	0	0	0	503.5261952	503.5261952	0
8	Conv2d-8	[-1, 128, 112, 112]	[128, 128, 3, 3]	[-1, 128, 112, 112]	(1, 1)	1605632	0	1605632	0	2578054119424	503.5261952	[128, 12544, 1152]	14450688	1024	1.4112e-05	205520896	1	503.526209312	503.5261952	tensor(147584)
9	ReLU-9	[-1, 128, 112, 112]	[128, 128, 1, 1]	[-1, 128, 112, 112]		1605632	0	1605632	0	2578054119424	503.5261952			32	0	0	0	503.5261952	503.5261952	0
10	MaxPool2d-10	[-1, 128, 112, 112]	[128, 128, 2, 1]	[-1, 128, 56, 56]	[-1, 128, 112, 112]	1605632	0	401408	0	161128382464	31.4703872			32	0	205520896	1	31.4703872	31.4703872	0
11	Conv2d-11	[-1, 128, 56, 56]	[256, 128, 3, 3]	[-1, 256, 56, 56]	(1, 1)	401408	0	802816	0	644513529856	125.8815488	[256, 3136, 1152]	7225344	1024	7.056e-06	102760448	1	125.881555856	125.8815488	tensor(295168)
12	ReLU-12	[-1, 256, 56, 56]	[256, 256, 1, 1]	[-1, 256, 56, 56]		802816	0	802816	0	644513529856	125.8815488			32	0	0	0	125.8815488	125.8815488	0
13	Conv2d-13	[-1, 256, 56, 56]	[256, 256, 3, 3]	[-1, 256, 56, 56]	(1, 1)	802816	0	802816	0	644513529856	125.8815488	[256, 3136, 2304]	7225344	1024	7.056e-06	205520896	1	125.881555856	125.8815488	tensor(590080)
14	ReLU-14	[-1, 256, 56, 56]	[256, 256, 1, 1]	[-1, 256, 56, 56]		802816	0	802816	0	644513529856	125.8815488			32	0	0	0	125.8815488	125.8815488	0
15	Conv2d-15	[-1, 256, 56, 56]	[256, 256, 3, 3]	[-1, 256, 56, 56]	(1, 1)	802816	0	802816	0	644513529856	125.8815488	[256, 3136, 2304]	7225344	1024	7.056e-06	205520896	1	125.881555856	125.8815488	tensor(590080)
16	ReLU-16	[-1, 256, 56, 56]	[256, 256, 1, 1]	[-1, 256, 56, 56]		802816	0	802816	0	644513529856	125.8815488			32	0	0	0	125.8815488	125.8815488	0
17	Conv2d-17	[-1, 256, 56, 56]	[256, 256, 3, 3]	[-1, 256, 56, 56]	(1, 1)	802816	0	802816	0	644513529856	125.8815488	[256, 3136, 2304]	7225344	1024	7.056e-06	205520896	1	125.881555856	125.8815488	tensor(590080)
18	ReLU-18	[-1, 256, 56, 56]	[256, 256, 1, 1]	[-1, 256, 56, 56]		802816	0	802816	0	644513529856	125.8815488			32	0	0	0	125.8815488	125.8815488	0
19	MaxPool2d-19	[-1, 256, 56, 56]	[256, 256, 2, 1]	[-1, 256, 28, 28]	[-1, 256, 56, 56]	802816	0	200704	0	40282095616	7.8675968			32	0	205520896	1	7.8675968	7.8675968	0
20	Conv2d-20	[-1, 256, 28, 28]	[512, 256, 3, 3]	[-1, 512, 28, 28]	(1, 1)	200704	0	401408	0	161128382464	31.4703872	[512, 784, 2304]	3612672	1024	3.528e-06	102760448	1	31.470390728	31.4703872	tensor(1180160)
21	ReLU-21	[-1, 512, 28, 28]	[512, 512, 1, 1]	[-1, 512, 28, 28]		401408	0	401408	0	161128382464	31.4703872			32	0	0	0	31.4703872	31.4703872	0
22	Conv2d-22	[-1, 512, 28, 28]	[512, 512, 3, 3]	[-1, 512, 28, 28]	(1, 1)	401408	0	401408	0	161128382464	31.4703872	[512, 784, 4608]	3612672	1024	3.528e-06	205520896	1	31.470390728	31.4703872	tensor(2359808)
23	ReLU-23	[-1, 512, 28, 28]	[512, 512, 1, 1]	[-1, 512, 28, 28]		401408	0	401408	0	161128382464	31.4703872			32	0	0	0	31.4703872	31.4703872	0
24	Conv2d-24	[-1, 512, 28, 28]	[512, 512, 3, 3]	[-1, 512, 28, 28]	(1, 1)	401408	0	401408	0	161128382464	31.4703872	[512, 784, 4608]	3612672	1024	3.528e-06	205520896	1	31.470390728	31.4703872	tensor(2359808)
25	ReLU-25	[-1, 512, 28, 28]	[512, 512, 1, 1]	[-1, 512, 28, 28]		401408	0	401408	0	161128382464	31.4703872			32	0	0	0	31.4703872	31.4703872	0
26	Conv2d-26	[-1, 512, 28, 28]	[512, 512, 3, 3]	[-1, 512, 28, 28]	(1, 1)	401408	0	401408	0	161128382464	31.4703872	[512, 784, 4608]	3612672	1024	3.528e-06	205520896	1	31.470390728	31.4703872	tensor(2359808)
27	ReLU-27	[-1, 512, 28, 28]	[512, 512, 1, 1]	[-1, 512, 28, 28]		401408	0	401408	0	161128382464	31.4703872			32	0	0	0	31.4703872	31.4703872	0
28	MaxPool2d-28	[-1, 512, 28, 28]	[512, 512, 2, 1]	[-1, 512, 14, 14]	[-1, 512, 28, 28]	401408	0	100352	0	10070523904	1.9668992			32	0	205520896	1	1.9668992	1.9668992	0
29	Conv2d-29	[-1, 512, 14, 14]	[512, 512, 3, 3]	[-1, 512, 14, 14]	(1, 1)	100352	0	100352	0	10070523904	1.9668992	[512, 196, 4608]	903168	1024	8.82e-07	51380224	1	1.966900082	1.9668992	tensor(2359808)
30	ReLU-30	[-1, 512, 14, 14]	[512, 512, 1, 1]	[-1, 512, 14, 14]		100352	0	100352	0	10070523904	1.9668992			32	0	0	0	1.9668992	1.9668992	0
31	Conv2d-31	[-1, 512, 14, 14]	[512, 512, 3, 3]	[-1, 512, 14, 14]	(1, 1)	100352	0	100352	0	10070523904	1.9668992	[512, 196, 4608]	903168	1024	8.82e-07	51380224	1	1.966900082	1.9668992	tensor(2359808)
32	ReLU-32	[-1, 512, 14, 14]	[512, 512, 1, 1]	[-1, 512, 14, 14]		100352	0	100352	0	10070523904	1.9668992			32	0	0	0	1.9668992	1.9668992	0
33	Conv2d-33	[-1, 512, 14, 14]	[512, 512, 3, 3]	[-1, 512, 14, 14]	(1, 1)	100352	0	100352	0	10070523904	1.9668992	[512, 196, 4608]	903168	1024	8.82e-07	51380224	1	1.966900082	1.9668992	tensor(2359808)
34	ReLU-34	[-1, 512, 14, 14]	[512, 512, 1, 1]	[-1, 512, 14, 14]		100352	0	100352	0	10070523904	1.9668992			32	0	0	0	1.9668992	1.9668992	0
35	Conv2d-35	[-1, 512, 14, 14]	[512, 512, 3, 3]	[-1, 512, 14, 14]	(1, 1)	100352	0	100352	0	10070523904	1.9668992	[512, 196, 4608]	903168	1024	8.82e-07	51380224	1	1.966900082	1.9668992	tensor(2359808)
36	ReLU-36	[-1, 512, 14, 14]	[512, 512, 1, 1]	[-1, 512, 14, 14]		100352	0	100352	0	10070523904	1.9668992			32	0	0	0	1.9668992	1.9668992	0
37	MaxPool2d-37	[-1, 512, 14, 14]	[512, 512, 2, 1]	[-1, 512, 7, 7]	[-1, 512, 14, 14]	100352	0	25088	0	629407744	0.1229312			32	0	51380224	1	0.1229312	0.1229312	0
38	Linear-38	[-1, 25088]	[4096, 25088, 1, 1]	[-1, 4096]		25088	0	4096	0	16777216	0.0032768	[4096, 1, 25088]	102760448	32	0.003211264	102760448	1	0.006488064	0.0032768	tensor(102764544)
39	ReLU-39	[-1, 4096]	[4096, 4096, 1, 1]	[-1, 4096]		4096	0	4096	0	16777216	0.0032768			32	0	0	0	0.0032768	0.0032768	0
40	Dropout-40	[-1, 4096]	[4096, 4096, 1, 1]	[-1, 4096]		4096	0	4096	0	16777216	0.0032768			32	0	0	0	0.0032768	0.0032768	0
41	Linear-41	[-1, 4096]	[4096, 4096, 1, 1]	[-1, 4096]		4096	0	4096	0	16777216	0.0032768	[4096, 1, 4096]	16777216	32	0.000524288	16777216	1	0.0038010879999999998	0.0032768	tensor(16781312)
42	ReLU-42	[-1, 4096]	[4096, 4096, 1, 1]	[-1, 4096]		4096	0	4096	0	16777216	0.0032768			32	0	0	0	0.0032768	0.0032768	0
43	Dropout-43	[-1, 4096]	[4096, 4096, 1, 1]	[-1, 4096]		4096	0	4096	0	16777216	0.0032768			32	0	0	0	0.0032768	0.0032768	0
44	Linear-44	[-1, 4096]	[1000, 4096, 1, 1]	[-1, 1000]		4096	0	1000	0	1000000	0.0001953125	[1000, 1, 4096]	4096000	32	0.000128	4096000	1	0.00032331250000000003	0.0001953125	tensor(4097000)
